concurrency,metric,paired_turn_count,root_id_cluster_count,median_ratio,bootstrap_ci_low,bootstrap_ci_high,n_bootstrap
5,ttft_ratio,1,1,187.1194869816909,187.1194869816909,187.1194869816909,1000
5,itl_ratio,1,1,0.9442487303924822,0.9442487303924822,0.9442487303924822,1000
5,e2e_ratio,1,1,14.70038932554262,14.70038932554262,14.70038932554262,1000
6,ttft_ratio,3,2,37.864700760863535,31.27639131465908,37.864700760863535,1000
6,itl_ratio,3,2,0.9854210742748747,0.9263064017712965,1.0558239866606896,1000
6,e2e_ratio,3,2,5.289914939744749,4.653509551862497,7.831631275167199,1000
7,ttft_ratio,2,1,64.59014330656079,64.59014330656079,64.59014330656079,1000
7,itl_ratio,2,1,0.8804110779681729,0.8804110779681729,0.8804110779681729,1000
7,e2e_ratio,2,1,9.442477967632303,9.442477967632303,9.442477967632303,1000
8,ttft_ratio,1,1,112.55185988096947,112.55185988096947,112.55185988096947,1000
8,itl_ratio,1,1,0.9639572834446853,0.9639572834446853,0.9639572834446853,1000
8,e2e_ratio,1,1,8.52639016916145,8.52639016916145,8.52639016916145,1000
